ranking,dane_code,city,department,school,sector,calendar,Matriculados,Publicados,puesto_saber_11,promedio_puntaje_global_saber_11,desviacion_general,isce_media,isce_secundaria,isce_primaria,saber_9_general,saber_5_general,saber_3_general,formula_1,formula_2,formula_3,total,ranking_dinero
3883,311769002516,BOGOTÁ D.C.,BOGOTÁ D.C.,LIC DE LONDRES,Privado,A,4,4,3196,265,48,0,0,0,0,0,0,53.00,0.00,84.66,68.83,54
3884,105310000031,GÓMEZ PLATA,ANTIOQUIA,I. E. GOMEZ PLATA,Oficial,A,56,53,3981,258,47,7.455465794,7.145781994,3.923732996,338,305,318.5,60.98,61.75,83.76,68.83,51
3885,325290001796,FUSAGASUGÁ,CUNDINAMARCA,GIMN MODERNO MARIA AUXILIADORA,Privado,A,18,18,4762,251,40,4.455190182,7.391205788,6.77127409,301,291,320.5,58.18,62.06,86.25,68.83,50.6
3886,170400000011,LA UNIÓN,SUCRE,I.E. LA UNION,Oficial,A,142,130,6392,237,36,7.406454563,7.156563759,4.652722836,297.5,288.5,311.5,56.73,64.05,85.70,68.83,47
3887,111001030848,BOGOTÁ D.C.,BOGOTÁ D.C.,COLEGIO ARBORIZADORA BAJA (IED),Oficial,A,166,157,4368,254,39,7.549044609,6.053844452,4.969323158,318.5,299.5,300,58.60,61.91,85.97,68.83,50.8
3888,376892000026,YUMBO,VALLE,INST EDUC SAN FRANCISCO JAVIER,Privado,B,78,78,1650,286,44,4.48704958,6.062019348,6.041224003,336,336.5,331.5,64.50,55.30,86.67,68.82,57.2
3889,176113000377,BUGALAGRANDE,VALLE,IE DIEGO RENGIFO SALAZAR,Oficial,A,77,73,6961,232,38,5.49882555,4.887192726,7.311824799,302,331.5,380,62.28,58.99,85.19,68.82,46
3890,305088000647,BELLO,ANTIOQUIA,COL SAGRADO CORAZON DE MARIA,Privado,A,32,32,5246,247,37,7.655421257,5.009706497,5.057137012,339.5,322,299.5,60.40,59.07,86.97,68.82,50.2
3891,268101000471,BOLÍVAR,SANTANDER,COLEGIO AGROPECUARIO SILVANO VELASCO,Oficial,A,10,9,6229,239,53,7.280599594,0,0,277,275.5,280.5,53.60,72.81,80.03,68.81,47.8
3892,150573000554,PUERTO LÓPEZ,META,IE ENRIQUE OLAYA HERRERA,Oficial,A,103,102,4026,257,38,7.541061401,3.883877993,6.962557793,301,303,302,58.15,61.29,86.99,68.81,50.6
3893,425486000261,NEMOCÓN,CUNDINAMARCA,I.E. BOSCONIA,Privado,A,15,15,1479,289,32,5.810566425,7.543902397,0,354.5,349,0,49.63,66.77,90.03,68.81,57.2
3894,254874000568,LOS PATIOS,NORTE DE SANTANDER,INSTITUTO TECNICO PATIOS CENTRO 2,Oficial,A,156,156,4133,256,38,7.40921402,5.695014477,5.181143284,304,312,296,58.40,60.95,87.07,68.81,51.2
3895,220614000015,RÍO DE ORO,CESAR,I. E. EL CAMPAMENTO,Oficial,A,14,14,4572,252,26,4.554673672,7.223132133,5.105549812,294,318.5,325.5,59.50,56.28,90.65,68.81,49.6
3896,213744000274,SANTA ROSA DEL SUR,BOLIVAR,I. E. VILLA FLOR,Oficial,A,10,9,8356,214,24,0,6.056690693,0,338.5,280,306.5,56.95,60.57,88.91,68.81,42.8
3897,215104000092,BOYACÁ,BOYACA,I.E. SAN ISIDRO,Oficial,A,16,15,6248,238,31,7.317536354,4.027915955,7.094876766,293,303.5,309.5,57.20,61.47,87.76,68.81,47.4
3898,227077001357,BAJO BAUDÓ,CHOCO,CE FRANCISCO DE PAULA SANTANDER,Privado,A,6,6,9506,162,16,0,0,0,237.5,248,284.5,46.60,0.00,91.01,68.81,32.6
3899,276616000255,RIOFRÍO,VALLE,IE CAMILO TORRES,Oficial,A,13,13,5573,244,34,7.224107742,6.628809929,4.829572201,267.5,304,311.5,56.35,62.27,87.77,68.80,48.2
3900,376001000454,CALI,VALLE,COLEGIO MILITAR JOSE ACEVEDO Y GOMEZ,Privado,B,38,38,3647,260,29,4.39893055,7.274307728,5.778541565,314.5,287,303.5,58.25,58.17,89.97,68.80,51.8
3901,266001004654,PEREIRA,RISARALDA,IE MUNDO NUEVO,Oficial,A,12,10,2999,266,28,7.439917088,5.641963959,4.247136116,346.5,283.5,298.5,59.73,57.76,88.89,68.79,53.4
3902,376622000679,ROLDANILLO,VALLE,COL GIMNASIO LOS ALPES,Privado,A,12,11,1324,293,51,4.696245193,6.126863956,6.782701969,297.5,338.5,346,63.75,58.69,83.94,68.79,58.4
